positive,2021-08-01, 190851
neutral,2021-08-01,1115994
negative,2021-08-01,1287078
neutral,2021-08-02,1269984
positive,2021-08-02, 233160
negative,2021-08-02,1238645
negative,2021-08-03,1280255
positive,2021-08-03, 223198
neutral,2021-08-03,1316499
neutral,2021-08-04,1309943
negative,2021-08-04,1392638
positive,2021-08-04, 252614
positive,2021-08-05, 266473
neutral,2021-08-05,1366111
negative,2021-08-05,1488326
negative,2021-08-06,1336469
positive,2021-08-06, 237958
neutral,2021-08-06,1281341
neutral,2021-08-07,1082201
negative,2021-08-07,1320020
positive,2021-08-07, 227343
negative,2021-08-08,1286004
neutral,2021-08-08,1059838
positive,2021-08-08, 236357
neutral,2021-08-09,1224536
positive,2021-08-09, 232288
negative,2021-08-09,1410524
positive,2021-08-10, 240499
negative,2021-08-10,1469550
neutral,2021-08-10,1250547
negative,2021-08-11,1373662
positive,2021-08-11, 227431
neutral,2021-08-11,1232093
negative,2021-08-12,1452902
neutral,2021-08-12,1318634
positive,2021-08-12, 212410
negative,2021-08-13,1183253
neutral,2021-08-13,1172431
positive,2021-08-13, 204874
positive,2021-08-14, 196774
neutral,2021-08-14, 920086
negative,2021-08-14,1073807
positive,2021-08-15,166951
negative,2021-08-15,985000
neutral,2021-08-15,862862
neutral,2021-08-16,733250
negative,2021-08-16,763481
positive,2021-08-16,149348
neutral,2021-08-17,1098511
positive,2021-08-17, 215813
negative,2021-08-17,1032173
neutral,2021-08-18,1267369
negative,2021-08-18,1227460
positive,2021-08-18, 224395
positive,2021-08-19, 230251
negative,2021-08-19,1215595
neutral,2021-08-19,1156833
neutral,2021-08-20,1169376
negative,2021-08-20,1276299
positive,2021-08-20, 234758
positive,2021-08-21, 205454
negative,2021-08-21,1246461
neutral,2021-08-21, 968751
positive,2021-08-22, 181985
negative,2021-08-22,1154895
neutral,2021-08-22,1025571
positive,2021-08-23, 196764
neutral,2021-08-23,1141167
negative,2021-08-23,1169237
neutral,2021-08-24, 964210
positive,2021-08-24, 187097
negative,2021-08-24,1057587
positive,2021-08-25, 182721
neutral,2021-08-25,1000171
negative,2021-08-25,1108142
positive,2021-08-26, 188433
neutral,2021-08-26,1004337
negative,2021-08-26,1157643
positive,2021-08-27, 187917
neutral,2021-08-27,1044575
negative,2021-08-27,1138772
negative,2021-08-28,1150544
neutral,2021-08-28, 979431
positive,2021-08-28, 167858
positive,2021-08-29, 156947
neutral,2021-08-29, 851374
negative,2021-08-29,1122256
negative,2021-08-30,1146465
neutral,2021-08-30, 994875
positive,2021-08-30, 176186
neutral,2021-08-31, 989027
positive,2021-08-31, 190056
negative,2021-08-31,1062362
neutral,2021-09-01,1028627
positive,2021-09-01, 208082
negative,2021-09-01,1163724
neutral,2021-09-02,1135276
negative,2021-09-02,1414497
positive,2021-09-02, 234413
positive,2021-09-03, 179853
negative,2021-09-03,1080490
neutral,2021-09-03, 950945
neutral,2021-09-04,815887
positive,2021-09-04,178247
negative,2021-09-04,970143
positive,2021-09-05,219452
neutral,2021-09-05,826232
negative,2021-09-05,941036
positive,2021-09-06,161552
neutral,2021-09-06,792334
negative,2021-09-06,905766
neutral,2021-09-07,1028304
negative,2021-09-07,1136646
positive,2021-09-07, 173469
positive,2021-09-08, 190322
neutral,2021-09-08, 965169
negative,2021-09-08,1060130
neutral,2021-09-09,1160973
positive,2021-09-09, 197411
negative,2021-09-09,1199347
neutral,2021-09-10,1289302
negative,2021-09-10,1558238
positive,2021-09-10, 258080
negative,2021-09-11,1037317
neutral,2021-09-11, 907366
positive,2021-09-11, 172895
positive,2021-09-12,156579
neutral,2021-09-12,827407
negative,2021-09-12,884530
neutral,2021-09-13,1038349
negative,2021-09-13,1137657
positive,2021-09-13, 205111
neutral,2021-09-14,1120384
positive,2021-09-14, 216389
negative,2021-09-14,1143288
negative,2021-09-15,985593
neutral,2021-09-15,974713
positive,2021-09-15,187230
negative,2021-09-16,1135147
neutral,2021-09-16, 981160
positive,2021-09-16, 208038
positive,2021-09-17, 207141
neutral,2021-09-17, 997706
negative,2021-09-17,1128390
positive,2021-09-18,173490
neutral,2021-09-18,764421
negative,2021-09-18,898732
negative,2021-09-19,972758
positive,2021-09-19,165572
neutral,2021-09-19,864614
neutral,2021-09-20,1063499
negative,2021-09-20,1061588
positive,2021-09-20, 192365
positive,2021-09-21,191876
negative,2021-09-21,988888
neutral,2021-09-21,978860
negative,2021-09-22, 893302
positive,2021-09-22, 197524
neutral,2021-09-22,1016505
neutral,2021-09-23,893370
negative,2021-09-23,906722
positive,2021-09-23,172761
neutral,2021-09-24,988605
positive,2021-09-24,188759
negative,2021-09-24,864863
negative,2021-09-25,727975
positive,2021-09-25,144276
neutral,2021-09-25,786533
positive,2021-09-26,126670
negative,2021-09-26,712194
neutral,2021-09-26,658061
positive,2021-09-27,169177
neutral,2021-09-27,872800
negative,2021-09-27,931518
positive,2021-09-28,178519
neutral,2021-09-28,938919
negative,2021-09-28,955719
negative,2021-09-29,939793
positive,2021-09-29,161849
neutral,2021-09-29,854951
positive,2021-09-30,152221
neutral,2021-09-30,797989
negative,2021-09-30,931606
