positive,2021-08-01,1340
neutral,2021-08-01,2381
negative,2021-08-01,4828
neutral,2021-08-02,2612
positive,2021-08-02,1392
negative,2021-08-02,5137
negative,2021-08-03,5534
positive,2021-08-03,1554
neutral,2021-08-03,3027
neutral,2021-08-04,3055
negative,2021-08-04,5973
positive,2021-08-04,1618
positive,2021-08-05,1622
neutral,2021-08-05,3014
negative,2021-08-05,6090
negative,2021-08-06,5948
positive,2021-08-06,1690
neutral,2021-08-06,2993
neutral,2021-08-07,2373
negative,2021-08-07,5209
positive,2021-08-07,1488
negative,2021-08-08,4998
neutral,2021-08-08,2266
positive,2021-08-08,1349
neutral,2021-08-09,2578
positive,2021-08-09,1430
negative,2021-08-09,5266
positive,2021-08-10,1736
negative,2021-08-10,6593
neutral,2021-08-10,3037
negative,2021-08-11,6336
positive,2021-08-11,1746
neutral,2021-08-11,2918
negative,2021-08-12,6354
neutral,2021-08-12,3051
positive,2021-08-12,1740
negative,2021-08-13,5215
neutral,2021-08-13,2595
positive,2021-08-13,1541
positive,2021-08-14,1357
neutral,2021-08-14,2182
negative,2021-08-14,4580
positive,2021-08-15,1103
negative,2021-08-15,4028
neutral,2021-08-15,1817
neutral,2021-08-16,1612
negative,2021-08-16,3145
positive,2021-08-16,1154
neutral,2021-08-17,3188
positive,2021-08-17,1866
negative,2021-08-17,5217
neutral,2021-08-18,3066
negative,2021-08-18,5638
positive,2021-08-18,1670
positive,2021-08-19,1539
negative,2021-08-19,5104
neutral,2021-08-19,2574
neutral,2021-08-20,2623
negative,2021-08-20,5274
positive,2021-08-20,1692
positive,2021-08-21,1478
negative,2021-08-21,4754
neutral,2021-08-21,2308
positive,2021-08-22,1401
negative,2021-08-22,4617
neutral,2021-08-22,2257
positive,2021-08-23,1606
neutral,2021-08-23,2696
negative,2021-08-23,4747
neutral,2021-08-24,2515
positive,2021-08-24,1511
negative,2021-08-24,4783
positive,2021-08-25,1456
neutral,2021-08-25,2309
negative,2021-08-25,4502
positive,2021-08-26,1398
neutral,2021-08-26,2315
negative,2021-08-26,4732
positive,2021-08-27,1402
neutral,2021-08-27,2281
negative,2021-08-27,4667
negative,2021-08-28,4743
neutral,2021-08-28,2081
positive,2021-08-28,1358
positive,2021-08-29,1164
neutral,2021-08-29,1832
negative,2021-08-29,4433
negative,2021-08-30,4395
neutral,2021-08-30,2047
positive,2021-08-30,1301
neutral,2021-08-31,2198
positive,2021-08-31,1277
negative,2021-08-31,4139
neutral,2021-09-01,2375
positive,2021-09-01,1398
negative,2021-09-01,4715
neutral,2021-09-02,2212
negative,2021-09-02,4690
positive,2021-09-02,1490
positive,2021-09-03,1187
negative,2021-09-03,3810
neutral,2021-09-03,1928
neutral,2021-09-04,1654
positive,2021-09-04,1177
negative,2021-09-04,3554
positive,2021-09-05,1066
neutral,2021-09-05,1529
negative,2021-09-05,3198
positive,2021-09-06,975
neutral,2021-09-06,1400
negative,2021-09-06,2996
neutral,2021-09-07,1865
negative,2021-09-07,3725
positive,2021-09-07,1097
positive,2021-09-08,1153
neutral,2021-09-08,1906
negative,2021-09-08,3848
neutral,2021-09-09,2182
positive,2021-09-09,1433
negative,2021-09-09,4617
neutral,2021-09-10,2567
negative,2021-09-10,6158
positive,2021-09-10,1531
negative,2021-09-11,3691
neutral,2021-09-11,1501
positive,2021-09-11,955
positive,2021-09-12,999
neutral,2021-09-12,1426
negative,2021-09-12,3165
neutral,2021-09-13,1861
negative,2021-09-13,4015
positive,2021-09-13,1128
neutral,2021-09-14,2096
positive,2021-09-14,1198
negative,2021-09-14,4356
negative,2021-09-15,4073
neutral,2021-09-15,2018
positive,2021-09-15,1264
negative,2021-09-16,4040
neutral,2021-09-16,1864
positive,2021-09-16,1237
positive,2021-09-17,1240
neutral,2021-09-17,1946
negative,2021-09-17,4123
positive,2021-09-18,1002
neutral,2021-09-18,1440
negative,2021-09-18,3094
negative,2021-09-19,3091
positive,2021-09-19,1007
neutral,2021-09-19,1485
neutral,2021-09-20,1678
negative,2021-09-20,3478
positive,2021-09-20,1081
positive,2021-09-21,1122
negative,2021-09-21,3442
neutral,2021-09-21,1720
negative,2021-09-22,3138
positive,2021-09-22,1065
neutral,2021-09-22,1755
neutral,2021-09-23,1774
negative,2021-09-23,3392
positive,2021-09-23,1091
neutral,2021-09-24,1646
positive,2021-09-24,1120
negative,2021-09-24,2746
negative,2021-09-25,2512
positive,2021-09-25,902
neutral,2021-09-25,1333
positive,2021-09-26,794
negative,2021-09-26,2376
neutral,2021-09-26,1151
positive,2021-09-27,1020
neutral,2021-09-27,1556
negative,2021-09-27,3051
positive,2021-09-28,1048
neutral,2021-09-28,1799
negative,2021-09-28,3269
negative,2021-09-29,3196
positive,2021-09-29,1025
neutral,2021-09-29,1617
positive,2021-09-30,985
neutral,2021-09-30,1471
negative,2021-09-30,3181
